Date,High,Low,Open,Close,Volume,Adj Close
2001-02-05,1354.56005859,1344.47998047,1349.4699707,1354.31005859,1013000000,1354.31005859
2001-02-06,1363.55004883,1350.04003906,1354.31005859,1352.26000977,1059600000,1352.26000977
2001-02-07,1352.26000977,1334.26000977,1352.26000977,1340.89001465,1158300000,1340.89001465
2001-02-08,1350.31994629,1332.42004395,1341.09997559,1332.5300293,1107200000,1332.5300293
2001-02-09,1332.5300293,1309.97998047,1332.5300293,1314.76000977,1075500000,1314.76000977
2001-02-12,1330.95996094,1313.64001465,1314.76000977,1330.31005859,1039100000,1330.31005859
2001-02-13,1336.61999512,1317.51000977,1330.31005859,1318.80004883,1075200000,1318.80004883
2001-02-14,1320.72998047,1304.7199707,1318.80004883,1315.92004395,1150300000,1315.92004395
2001-02-15,1331.29003906,1315.92004395,1315.92004395,1326.60998535,1153700000,1326.60998535
2001-02-16,1326.60998535,1293.18005371,1326.60998535,1301.5300293,1257200000,1301.5300293
2001-02-20,1307.16003418,1278.43994141,1301.5300293,1278.93994141,1112200000,1278.93994141
2001-02-21,1282.9699707,1253.16003418,1278.93994141,1255.27001953,1208500000,1255.27001953
2001-02-22,1259.93994141,1228.32995605,1255.27001953,1252.81994629,1365900000,1252.81994629
2001-02-23,1252.81994629,1215.43994141,1252.81994629,1245.85998535,1231300000,1245.85998535
2001-02-26,1267.68994141,1241.70996094,1245.85998535,1267.65002441,1130800000,1267.65002441
2001-02-27,1272.76000977,1252.26000977,1267.65002441,1257.93994141,1114100000,1257.93994141
2001-02-28,1263.4699707,1229.65002441,1257.93994141,1239.93994141,1225300000,1239.93994141
2001-03-01,1241.35998535,1214.5,1239.93994141,1241.22998047,1294900000,1241.22998047
2001-03-02,1251.01000977,1219.73999023,1241.22998047,1234.18005371,1294000000,1234.18005371
2001-03-05,1242.55004883,1234.04003906,1234.18005371,1241.41003418,929200000,1241.41003418
2001-03-06,1267.42004395,1241.41003418,1241.41003418,1253.80004883,1091800000,1253.80004883
2001-03-07,1263.85998535,1253.80004883,1253.80004883,1261.89001465,1132200000,1261.89001465
2001-03-08,1266.5,1257.59997559,1261.89001465,1264.73999023,1114100000,1264.73999023
2001-03-09,1264.73999023,1228.42004395,1264.73999023,1233.42004395,1085900000,1233.42004395
2001-03-12,1233.42004395,1176.7800293,1233.42004395,1180.16003418,1229000000,1180.16003418
2001-03-13,1197.82995605,1171.5,1180.16003418,1197.66003418,1360900000,1197.66003418
2001-03-14,1197.66003418,1155.34997559,1197.66003418,1166.70996094,1397400000,1166.70996094
